source_song_id,target_song_id,rank
SOUKJBT12A6701C4D6,SOJLVFZ12A58A7880C,1
SOUKJBT12A6701C4D6,SOCSRCP12A8C1416B2,2
SOUKJBT12A6701C4D6,SOXVVSM12A8C142224,3
SOUKJBT12A6701C4D6,SOODHLO12AF72A1980,4
SOUKJBT12A6701C4D6,SOBYZRW12A58A7ABF1,5
SOUKJBT12A6701C4D6,SOKEEKD12AB0188B39,6
SOUKJBT12A6701C4D6,SOSGXCZ12A8C145A5C,7
SOUKJBT12A6701C4D6,SOYXUQF12AB01843BA,8
SOUKJBT12A6701C4D6,SOKPKQH12A6701DDE4,9
SOAOAHZ12A8C13AAF1,SODDUDN12AB0182212,1
SOAOAHZ12A8C13AAF1,SOKJNHT12A6D4F8858,2
SOAOAHZ12A8C13AAF1,SODKGEH12A6D4F4843,3
SOAOAHZ12A8C13AAF1,SOIBLQH12A6D4F4841,4
SOAOAHZ12A8C13AAF1,SOSQKCC12AB018073C,5
SOAOAHZ12A8C13AAF1,SOYOMGN12A58A77BDF,6
SOAOAHZ12A8C13AAF1,SOGUPAU12A67AD754E,7
SOAOAHZ12A8C13AAF1,SOVLQDU12A67AD7551,8
SOAOAHZ12A8C13AAF1,SOKCJBE12A8C14095B,9
SORKFWO12A8C138D83,SOZPWAS12A8C133E58,1
SORKFWO12A8C138D83,SORJAQG12A67AE0C35,2
SORKFWO12A8C138D83,SOTOPPG12A6D4FA36E,3
SORKFWO12A8C138D83,SOXWBNX12A6D4F914B,4
SORKFWO12A8C138D83,SOIPZEF12A8C13C68B,5
SORKFWO12A8C138D83,SOYXVVZ12AB017F569,6
SORKFWO12A8C138D83,SOLUHAO12A8C13DD33,7
SORKFWO12A8C138D83,SOGMLQO12A670207BF,8
SORKFWO12A8C138D83,SOEPECF12A67ADCF2D,9
SOIDDNJ12AC9071B90,SOCZYWJ12AB017FD33,1
SOIDDNJ12AC9071B90,SONVZUC12AF72A9A3A,2
SOIDDNJ12AC9071B90,SOMFJKS12AF72A4D41,3
SOIDDNJ12AC9071B90,SOLWMRO12A81C234FA,4
SOIDDNJ12AC9071B90,SOAFQSO12AB017F60C,5
SOIDDNJ12AC9071B90,SOWDTZG12A6D4F8F70,6
SOIDDNJ12AC9071B90,SOTJLCA12A8AE474A7,7
SOIDDNJ12AC9071B90,SOJHKLI12AB017AA02,8
SOIDDNJ12AC9071B90,SOGKNQF12AB017FD67,9
SOPARNW12B0B80AD8D,SOGYCXA12AB018AFC1,1
SOPARNW12B0B80AD8D,SOFZMMI12AB017F33C,2
SOPARNW12B0B80AD8D,SOJYBIF12AB0183EDB,3
SOPARNW12B0B80AD8D,SOFHVID12A6D4F5B75,4
SOPARNW12B0B80AD8D,SOSCJDO12A8C13387F,5
SOPARNW12B0B80AD8D,SOZYEUQ12AB0184FAB,6
SOPARNW12B0B80AD8D,SODRFJI12A6D4FAA05,7
SOPARNW12B0B80AD8D,SOCNFEZ12AB0186FF8,8
SOPARNW12B0B80AD8D,SODUJHV12A58A7CCAC,9
SOPARNW12B0B80AD8D,SOVNOIH12AB017E3BC,10
SOHSOEO12A8C1314F9,SOHBTXV12A6701F976,1
SOHSOEO12A8C1314F9,SOHWRVT12A67FFB3EF,2
SOHSOEO12A8C1314F9,SONVIPQ12A8C13E4BA,3
SOHSOEO12A8C1314F9,SOSPOWA12AB0188E45,4
SOHSOEO12A8C1314F9,SOEPFXK12A8C13ADE1,5
SOHSOEO12A8C1314F9,SOKNUDM12A6D4F74B7,6
SOHSOEO12A8C1314F9,SOKHEVC12AB018351B,7
SOHSOEO12A8C1314F9,SOJFTCH12AF72A863A,8
SOHSOEO12A8C1314F9,SOIXFSL12A6D4F8C5A,9
SOLYVAA12AF72A366B,SOQUOLL12AB017DF41,1
SOLYVAA12AF72A366B,SOKPONE12AF72A3099,2
SOLYVAA12AF72A366B,SOONIPE12A8C13962C,3
SOLYVAA12AF72A366B,SODEHIX12A6702068C,4
SOLYVAA12AF72A366B,SOBXXZA12A58A79BE8,5
SOLYVAA12AF72A366B,SOTCYGD12A8C1417B3,6
SOLYVAA12AF72A366B,SOIVAUF12AB01841B8,7
SOLYVAA12AF72A366B,SOVQLWF12A8C138DDD,8
SOLYVAA12AF72A366B,SOXTYTW12A58A7C0C7,9
SOUIYDY12A8C141517,SOTIHHE12A8C1376EB,1
SOUIYDY12A8C141517,SOENXKK12AB017E353,2
SOUIYDY12A8C141517,SOUNPPP12A8C14646F,3
SOUIYDY12A8C141517,SORFZXJ12AB018449A,4
SOUIYDY12A8C141517,SOXRQAI12A6701DA64,5
SOUIYDY12A8C141517,SOIMIVW12A8C139AC5,6
SOUIYDY12A8C141517,SOAOOJK12A8C144AA2,7
SOUIYDY12A8C141517,SOCSEEU12A8AE4866F,8
SOUIYDY12A8C141517,SOHTRRT12AB018148B,9
SOMPPAS12A8C13385B,SOYLKDG12A58A798D3,1
SOMPPAS12A8C13385B,SONYZSG12A81C2203D,2
SOMPPAS12A8C13385B,SOJVIUR12AF729DCFC,3
SOMPPAS12A8C13385B,SOKQSQM12A58A7846D,4
SOMPPAS12A8C13385B,SOUOYWQ12AB0182EF7,5
SOMPPAS12A8C13385B,SOBDUQY12A58A7C7EA,6
SOMPPAS12A8C13385B,SOAXJQT12AB0183540,7
SOMPPAS12A8C13385B,SOGMCGM12A8C143814,8
SOMPPAS12A8C13385B,SOKBHEV12A8C13645B,9
SOGKBUP12A8AE46251,SOVYYDC12A8AE466E3,1
SOGKBUP12A8AE46251,SOCRGHN12AF729DFD1,2
SOGKBUP12A8AE46251,SOIQAPQ12A6D4F6E9C,3
SOGKBUP12A8AE46251,SOOZDIK12AAA15D146,4
SOGKBUP12A8AE46251,SOWHRON12A8C1438D4,5
SOGKBUP12A8AE46251,SOVRLJY12A8C134DD1,6
SOGKBUP12A8AE46251,SOSRGHX12AF72A8783,7
SOGKBUP12A8AE46251,SOQZKZM12AF72A9F2D,8
SOGKBUP12A8AE46251,SOGVNNL12A67AE0CFB,9
SOCKEDZ12A6D4F6F09,SOJTEVD12A8AE45D91,1
SOCKEDZ12A6D4F6F09,SODZXMB12A6701F8B3,2
SOCKEDZ12A6D4F6F09,SOBKKUJ12A6D4FC8AB,3
SOCKEDZ12A6D4F6F09,SOVXGXI12A8C1327AE,4
SOCKEDZ12A6D4F6F09,SOADVCV12A8C13F15B,5
SOCKEDZ12A6D4F6F09,SOYTDAL12A8C140231,6
SOCKEDZ12A6D4F6F09,SORUFTA12A58A7AAA3,7
SOCKEDZ12A6D4F6F09,SOYKRRJ12A6D4F7F13,8
SOCKEDZ12A6D4F6F09,SOYTTTN12A8C13A839,9
SOECVEZ12A6D4F6F06,SOVMRRU12A8C13F746,1
SOECVEZ12A6D4F6F06,SOJDUGA12A6D4F9C76,2
SOECVEZ12A6D4F6F06,SOUVHWW12A58A7ABA9,3
SOECVEZ12A6D4F6F06,SOIIVKP12AB0182B04,4
